文档名称,原始路径,迁移后路径,文档类型,创建日期,版本号,负责人
开发规则简明手册,.trae/rules/0-开发规则简明手册.md,docs/开发文档/dev-manual-20260528.md,开发手册,2026-05-28,V1.0,系统管理员
项目架构与目录规范,.trae/rules/1-项目架构与目录规范.md,docs/开发文档/design-spec-20260526.md,设计文档,2026-05-26,V1.1,系统管理员
数据与编码规范,.trae/rules/2-数据与编码规范.md,docs/开发文档/dev-spec-data-20260527.md,开发规范,2026-05-27,V1.2,系统管理员
响应式循环依赖排查规范,.trae/rules/3-响应式循环依赖排查规范.md,docs/开发文档/dev-spec-debug-20260527.md,开发规范,2026-05-27,V1.0,系统管理员
组件开发与复用规范,.trae/rules/3-组件开发与复用规范.md,docs/开发文档/dev-spec-component-20260527.md,开发规范,2026-05-27,V1.0,系统管理员
AI协作指令库,.trae/rules/4-AI协作指令库.md,docs/开发文档/dev-spec-ai-20260526.md,开发规范,2026-05-26,V1.1,系统管理员
Git提交与发布规范,.trae/rules/5-Git提交与发布规范.md,docs/开发文档/dev-spec-git-20260614.md,开发规范,2026-06-14,V1.3,系统管理员
项目持续维护阶段管理规范V1.0,.trae/rules/maintenance_standards.md,docs/开发文档/maintenance-standards-20260615.md,维护规范,2026-06-15,V1.0,系统管理员
浏览器兼容性测试规范,.trae/rules/浏览器兼容性测试规范.md,docs/开发文档/test-spec-browser-20260528.md,测试规范,2026-05-28,V1.0,系统管理员
Git提交信息规范,.trae/rules/git-commit-message.md,docs/开发文档/dev-spec-commit-20260528.md,开发规范,2026-05-28,V1.0,系统管理员
前端全面代码审查报告,,docs/前端全面代码审查报告.md,审查报告,2026-05-28,V1.0,系统管理员
前端代码审查报告-数据层,,docs/前端代码审查报告-数据层.md,审查报告,2026-05-28,V1.0,系统管理员
前端代码审查报告-服务层,,docs/前端代码审查报告-服务层.md,审查报告,2026-05-28,V1.0,系统管理员
前端代码审查报告-组件层,,docs/前端代码审查报告-组件层.md,审查报告,2026-05-28,V1.0,系统管理员
前端代码审查报告-组合式函数,,docs/前端代码审查报告-组合式函数.md,审查报告,2026-05-28,V1.0,系统管理员
前端代码审查报告-路由层,,docs/前端代码审查报告-路由层.md,审查报告,2026-05-28,V1.0,系统管理员
前端adapters审查报告-适配器层,,docs/前端adapters审查报告-适配器层.md,审查报告,2026-05-28,V1.0,系统管理员
前端utils审查报告-工具函数层,,docs/前端utils审查报告-工具函数层.md,审查报告,2026-05-28,V1.0,系统管理员
后端代码审查报告,,docs/后端代码审查报告.md,审查报告,2026-05-28,V1.0,系统管理员
后端阶段总结报告,,docs/后端阶段总结报告_20260529.md,总结报告,2026-05-29,V1.0,系统管理员
测试报告_前端开发阶段性总结,,docs/测试报告_前端开发阶段性总结_20260528.md,测试报告,2026-05-28,V1.0,系统管理员
测试报告_浏览器兼容性测试,,docs/测试报告_浏览器兼容性测试_20260528.md,测试报告,2026-05-28,V1.0,系统管理员
上线检查清单,,docs/上线检查清单.md,检查清单,2026-05-28,V1.0,系统管理员
经典错误总结,,docs/经典错误总结.md,总结报告,2026-05-28,V1.0,系统管理员
DATA_ADAPTER_GUIDE,,docs/DATA_ADAPTER_GUIDE.md,技术文档,2026-05-28,V1.0,系统管理员
MAINTENANCE_GUIDE,,docs/MAINTENANCE_GUIDE.md,技术文档,2026-05-28,V1.0,系统管理员
TEST_REPORT_API_COMPREHENSIVE,,docs/TEST_REPORT_API_COMPREHENSIVE.md,测试报告,2026-05-28,V1.0,系统管理员
TEST_REPORT,,docs/testing/TEST_REPORT.md,测试报告,2026-05-28,V1.0,系统管理员
兼容性检查清单,,docs/testing/compatibility-checklist.md,检查清单,2026-05-28,V1.0,系统管理员
浏览器兼容性测试报告,,docs/testing/compatibility/browser-compat-20260527.md,测试报告,2026-05-27,V1.0,系统管理员
音频播放兼容性测试报告,,docs/testing/compatibility/audio-playback-20260527.md,测试报告,2026-05-27,V1.0,系统管理员
组件加载兼容性测试报告,,docs/testing/compatibility/component-load-20260527.md,测试报告,2026-05-27,V1.0,系统管理员
数据结构验证报告,数据/maintenance_tools/validation_report.md,数据/maintenance_tools/validation_report.md,验证报告,2026-06-15,V1.0,系统管理员
